Company,Model,Car,Minimal price (gross) [PLN],Engine power [KM],Maximum torque [Nm],Type of brakes,Drive type,Battery capacity [kWh],Range (WLTP) [km],Wheelbase [cm],Length [cm],Width [cm],Height [cm],Minimal empty weight [kg],Permissable gross weight [kg],Maximum load capacity [kg],Number of seats,Number of doors,Tire size [in],Maximum speed [kph],Boot capacity (VDA) [l],Acceleration 0-100 kph [s],Maximum DC charging power [kW],mean - Energy consumption [kWh/100 km]
Honda,e advance,Honda e advance,,154,315,disc (front + rear),2WD,35.5,170,,,,,,,,4,,,145,,8.3,190,
Hyundai,ioniq electric,Hyundai ioniq electric,184500,136,,disc (front + rear),2WD,38.3,311,270,447,182,147.5,1527,1970,518,5,5,16,165,357,,100,13.8
Hyundai,kona electric 39.2kwh,Hyundai kona electric 39.2kwh,154400,136,395,disc (front + rear),2WD,39.2,289,260,418,180,157,1535,2020,485,5,5,17,155,332,9.7,100,15
Hyundai,kona electric 64kwh,Hyundai kona electric 64kwh,178400,204,395,disc (front + rear),,64,449,260,418,180,157,1685,2170,485,5,5,17,167,332,7.6,100,15.4
Hyundai,kona electric 64 kwh,Hyundai kona electric 64 kwh,,204,395,disc (front + rear),2WD,64,400,,,,,,,,5,,,167,,7.9,380,
Hyundai,ioniq electric,Hyundai ioniq electric,,136,295,disc (front + rear),2WD,38.3,250,,,,,,,,5,,,165,,9.7,210,
Hyundai,kona electric 39 kwh,Hyundai kona electric 39 kwh,,136,,disc (front + rear),2WD,39,255,,,,,,,,5,,,155,,9.9,210,
Jaguar,i-pace,Jaguar i-pace,359500,400,696,disc (front + rear),4WD,90,470,299,468.2,201.1,155.6,2208,2670,537,5,5,20,200,656,4.8,100,21.2
Jaguar,i-pace,Jaguar i-pace,,400,696,disc (front + rear),4WD,90,365,,,,,,,,5,,,200,,4.8,340,
Kia,e-niro 39.2kwh,Kia e-niro 39.2kwh,146990,136,395,disc (front + rear),2WD,39.2,289,270,437.5,180.5,156,1592,2080,488,5,5,17,155,451,9.8,100,15.3
Kia,e-niro 64kwh,Kia e-niro 64kwh,167990,204,395,disc (front + rear),2WD,64,455,270,437.5,180.5,156,1737,2230,493,5,5,17,167,451,7.8,100,15.9
Kia,e-soul 39.2kwh,Kia e-soul 39.2kwh,139900,136,395,disc (front + rear),2WD,39.2,276,260,419.5,180,160.5,1535,1682,490,5,5,17,157,315,9.9,100,15.6
Kia,e-soul 64kwh,Kia e-soul 64kwh,160990,204,395,disc (front + rear),2WD,64,452,260,419.5,180,160.5,1535,1682,498,5,5,17,167,315,7.9,100,15.7
Kia,e-niro 64 kwh,Kia e-niro 64 kwh,,204,395,disc (front + rear),2WD,64,370,,,,,,,,5,,,167,,7.8,350,
Kia,e-soul 64 kwh,Kia e-soul 64 kwh,,204,395,disc (front + rear),2WD,64,365,,,,,,,,5,,,167,,,340,
Kia,e-niro 39 kwh,Kia e-niro 39 kwh,,136,395,disc (front + rear),2WD,39.2,235,,,,,,,,5,,,155,,9.8,230,
Kia,e-soul 64 kwh,Kia e-soul 64 kwh,,204,395,disc (front + rear),,64,365,,,,,,,,5,,,167,,,320,
Kia,e-soul 39 kwh,Kia e-soul 39 kwh,,136,395,disc (front + rear),,39.2,230,,,,,,,,5,,,157,,9.9,220,
Lightyear,one,Lightyear one,,490,650,,4WD,,575,,,,,,,,5,,,150,,10,540,
Mazda,mx-30,Mazda mx-30,142900,145,270,disc (front + rear),2WD,35.5,200,265.5,439.5,179.5,155.5,1645,2119,474,5,5,18,140,350,9.7,37,14.5
Mazda,mx-30,Mazda mx-30,,145,270,disc (front + rear),2WD,36,180,,,,,,,,5,,,150,,9,240,
