Company,Model,Car,Engine power [KM],Maximum torque [Nm],Range (WLTP) [km],Maximum speed [kph],Acceleration 0-100 kph [s],Maximum DC charging power [kW],Type of brakes_disc (front + rear),Drive type_4WD
Audi,e-tron 55 quattro,Audi e-tron 55 quattro,0.29924242424242425,0.05121951219512195,0.39199999999999996,0.26829268292682934,0.17733990147783252,0.13943355119825707,True,True
Audi,e-tron 50 quattro,Audi e-tron 50 quattro,0.25473484848484845,0.03861788617886179,0.28,0.2334494773519164,0.2315270935960591,0.13943355119825707,True,True
Audi,e-tron s quattro,Audi e-tron s quattro,0.4346590909090909,0.08262195121951219,0.30742857142857144,0.30313588850174217,0.11822660098522168,0.13943355119825707,True,True
Audi,e-tron sportback 50 quattro,Audi e-tron sportback 50 quattro,0.25473484848484845,0.03861788617886179,0.28685714285714287,0.2334494773519164,0.2315270935960591,0.13943355119825707,True,True
Audi,e-tron sportback 55 quattro,Audi e-tron sportback 55 quattro,0.29924242424242425,0.05121951219512195,0.4022857142857143,0.26829268292682934,0.17733990147783252,0.13943355119825707,True,False
Audi,e-tron sportback s quattro,Audi e-tron sportback s quattro,0.4346590909090909,0.08262195121951219,0.31314285714285717,0.30313588850174217,0.11822660098522168,0.13943355119825707,True,False
Audi,q4 e-tron,Audi q4 e-tron,0.24242424242424243,0.01524390243902439,0.3485714285714286,0.1289198606271777,0.20689655172413796,0.5642701525054467,True,True
Audi,e-tron gt,Audi e-tron gt,0.4346590909090909,0.047764227642276426,0.37714285714285717,0.4076655052264809,0.06896551724137932,0.9019607843137256,True,True
Audi,e-tron 50 quattro,Audi e-tron 50 quattro,0.25473484848484845,0.03861788617886179,0.2114285714285714,0.2334494773519164,0.2315270935960591,0.46623093681917216,True,True
Audi,e-tron sportback 55 quattro,Audi e-tron sportback 55 quattro,0.29924242424242425,0.05121951219512195,0.32571428571428573,0.26829268292682934,0.17733990147783252,0.6405228758169935,True,True
Audi,e-tron 55 quattro,Audi e-tron 55 quattro,0.29924242424242425,0.05121951219512195,0.39199999999999996,0.26829268292682934,0.17733990147783252,0.6187363834422659,True,True
Audi,q4 e-tron,Audi q4 e-tron,0.24715909090909088,0.01524390243902439,0.36,0.19860627177700346,0.20689655172413796,0.5751633986928105,True,True
Audi,e-tron sportback 50 quattro,Audi e-tron sportback 50 quattro,0.25473484848484845,0.03861788617886179,0.2285714285714286,0.2334494773519164,0.2315270935960591,0.4880174291938998,True,True
Audi,e-tron s quattro,Audi e-tron s quattro,0.26609848484848486,0.08262195121951219,0.2571428571428572,0.30313588850174217,0.11822660098522168,0.5315904139433552,True,True
Audi,e-tron sportback 55 quattro,Audi e-tron sportback 55 quattro,0.24715909090909088,0.08262195121951219,0.2742857142857143,0.30313588850174217,0.11822660098522168,0.5642701525054467,True,True
Bmw,i3,Bmw i3,0.11931818181818181,0.009146341463414635,0.3017142857142857,0.1289198606271777,0.2955665024630542,0.030501089324618737,True,False
